Ti,Ti_prime,To,a
10.643,19.81,-23.3,0
19.81,16.216,-23.2,10000
16.216,19.879,-23.2,6000
19.879,16.101,-23.2,10000
16.101,20.102,-23.2,6000
20.102,20.646,-22.1,10000
20.646,17.376,-21,10000
17.376,17.844,-20,6000
17.844,18.32,-18.3,6000
18.32,18.8,-17,6000
18.8,22.651,-15.6,6000
22.651,22.651,-16.3,10000
22.651,22.407,-17.2,10000
22.407,22.334,-18.2,10000
22.334,22.345,-17.5,10000
22.345,22.334,-16.7,10000
22.334,22.36,-16.1,10000
22.36,22.348,-15.3,10000
22.348,18.653,-14.8,10000
18.653,12.686,-14.3,6000
12.686,18.066,-14.3,0
18.066,18.013,-14.3,6000
18.013,17.813,-14.3,6000
17.813,11.964,-14.3,6000
11.964,21.149,-14.3,0
21.149,17.442,-14.3,10000
17.442,21.193,-14.5,6000
21.193,17.422,-14.6,10000
17.422,20.947,-15,6000
20.947,20.963,-15.1,10000
20.963,17.093,-15.3,10000
17.093,17.069,-15.6,6000
17.069,17.172,-14.6,6000
17.172,17.2,-14,6000
17.2,21.052,-13.3,6000
21.052,21.278,-12.6,10000
21.278,21.452,-12.1,10000
21.452,21.786,-11.6,10000
21.786,22.147,-10.8,10000
22.147,22.636,-10.1,10000
22.636,23.132,-9.3,10000
23.132,23.508,-8.1,10000
23.508,20.072,-7,10000
20.072,14.838,-6,6000
14.838,21.293,-2,0
21.293,22.146,1.7,6000
22.146,22.3,5.5,6000
22.3,16.271,5,6000
16.271,25.94,4.5,0
25.94,22.206,3.9,10000
22.206,26.126,3.5,6000
26.126,22.399,3.2,10000
22.399,26.446,2.7,6000
26.446,26.883,3.5,10000
26.883,23.319,4.3,10000
23.319,23.536,5,6000
23.536,23.779,4.5,6000
23.779,23.97,4.3,6000
23.97,28.036,3.9,6000
28.036,28.254,3.5,10000
28.254,28.366,3.2,10000
28.366,28.447,2.7,10000
28.447,28.522,2.2,10000
28.522,28.483,1.7,10000
28.483,28.672,1.1,10000
28.672,28.841,0.4,10000
28.841,25.005,-0.3,10000
25.005,18.997,-1.1,6000
18.997,24.814,-0.3,0
24.814,25.022,0.4,6000
25.022,24.913,1.1,6000
24.913,18.777,0.5,6000
18.777,28.19,0,0
28.19,24.244,-0.6,10000
24.244,27.807,-2,6000
27.807,23.754,-3.4,10000
23.754,27.839,-5,6000
27.839,28.519,-3.2,10000
28.519,25.23,-1.6,10000
25.23,25.522,0,6000
25.522,25.782,0.6,6000
25.782,26.025,1.1,6000
26.025,30.033,1.7,6000
30.033,30.2,1.5,10000
30.2,30.323,1.2,10000
30.323,30.551,1.1,10000
30.551,30.714,1.1,10000
30.714,30.852,1.1,10000
30.852,31.007,1.1,10000
31.007,31.1,1.2,10000
31.1,27.26,1.5,10000
27.26,21.154,1.7,6000
21.154,26.669,0.8,0
26.669,26.56,0.2,6000
26.56,26.451,-0.6,6000
26.451,20.439,-1,6000
20.439,29.807,-1.6,0
29.807,26.056,-2.2,10000
26.056,29.826,-2.5,6000
29.826,26.006,-2.7,10000
26.006,29.447,-3.2,6000
29.447,29.139,-4.5,10000
29.139,24.988,-5.8,10000
24.988,24.567,-7.1,6000
24.567,24.076,-9.1,6000
24.076,23.62,-11.1,6000
23.62,26.907,-13.3,6000
26.907,26.493,-14.3,10000
26.493,26.009,-15.5,10000
26.009,25.962,-16.7,10000
25.962,26.187,-17,10000
26.187,26.262,-17.2,10000
26.262,26.198,-17.7,10000
26.198,26.093,-18.7,10000
26.093,22.171,-19.8,10000
22.171,15.921,-21.1,6000
15.921,20.797,-22.8,0
20.797,20.188,-24.7,6000
20.188,19.903,-26.7,6000
19.903,14.007,-26.7,6000
14.007,22.939,-26.8,0
22.939,19.313,-27.2,10000
19.313,23.12,-25.7,6000
23.12,19.504,-24.5,10000
19.504,23.242,-23.2,6000
23.242,23.445,-21.7,10000
23.445,19.888,-20.2,10000
19.888,20.054,-18.8,6000
20.054,20.285,-17.5,6000
20.285,20.502,-16.2,6000
20.502,24.11,-15,6000
24.11,24.091,-15.1,10000
24.091,24.027,-15.3,10000
24.027,24.064,-15.6,10000
24.064,24.112,-15.3,10000
24.112,24.139,-15.1,10000
24.139,24.095,-15,10000
24.095,23.977,-14.6,10000
23.977,20.251,-14.5,10000
20.251,14.475,-14.3,6000
14.475,19.944,-14.1,0
19.944,19.949,-14,6000
19.949,20.003,-13.8,6000
20.003,14.359,-13.6,6000
14.359,23.622,-13.3,0
23.622,19.925,-13.3,10000
19.925,23.748,-14,6000
23.748,19.97,-14.6,10000
19.97,23.691,-15.6,6000
23.691,23.668,-15.6,10000
23.668,19.921,-15.8,10000
19.921,20.05,-16.1,6000
20.05,20.264,-15.6,6000
20.264,20.501,-15.3,6000
20.501,24.43,-15,6000
24.43,24.433,-16,10000
24.433,24.252,-17.1,10000
24.252,24.506,-18.2,10000
24.506,24.874,-17.2,10000
24.874,25.215,-16.3,10000
25.215,25.316,-15.6,10000
25.316,25.207,-15.5,10000
25.207,21.326,-15.5,10000
21.326,15.418,-15.6,6000
15.418,20.911,-15.1,0
20.911,20.913,-14.6,6000
20.913,20.837,-14.3,6000
20.837,14.803,-14.3,6000
14.803,24.117,-14.3,0
24.117,20.365,-14.3,10000
20.365,24.063,-14.5,6000
24.063,20.106,-14.6,10000
20.106,23.934,-15,6000
23.934,24.074,-14.8,10000
24.074,20.289,-14.8,10000
20.289,20.301,-15,6000
20.301,20.473,-14.5,6000
20.473,20.53,-14.1,6000
20.53,24.171,-13.8,6000
24.171,24.149,-14.1,10000
24.149,23.958,-14.5,10000
23.958,23.845,-15,10000
23.845,23.757,-15.5,10000
23.757,23.628,-16,10000
23.628,23.312,-16.7,10000
23.312,22.74,-18.3,10000
22.74,18.453,-20.2,10000
18.453,12.59,-22.2,6000
12.59,17.933,-21.6,0
17.933,17.91,-21,6000
