index,temp out,temp in
     357.0,     -17.0,      44.0
     358.0,     -17.0,      45.0
     359.0,     -17.0,      46.0
     360.0,     -17.0,      47.0
     361.0,     -17.0,      48.0
     362.0,     -17.0,      49.0
     363.0,     -17.0,      50.0
     364.0,     -17.0,      51.0
     365.0,     -17.0,      52.0
     366.0,     -17.0,      53.0
     367.0,     -17.0,      54.0
     368.0,     -17.0,      55.0
     369.0,     -17.0,      56.0
     370.0,     -17.0,      57.0
     371.0,     -16.0,       5.0
     372.0,     -16.0,       6.0
     373.0,     -16.0,       7.0
     374.0,     -16.0,       8.0
     375.0,     -16.0,       9.0
     376.0,     -16.0,      10.0
     377.0,     -16.0,      11.0
     378.0,     -16.0,      12.0
     379.0,     -16.0,      13.0
     380.0,     -16.0,      14.0
     381.0,     -16.0,      15.0
     382.0,     -16.0,      16.0
     383.0,     -16.0,      17.0
     384.0,     -16.0,      18.0
     385.0,     -16.0,      19.0
     386.0,     -16.0,      20.0
     387.0,     -16.0,      21.0
     388.0,     -16.0,      22.0
     389.0,     -16.0,      23.0
     390.0,     -16.0,      24.0
     391.0,     -16.0,      25.0
     392.0,     -16.0,      26.0
     393.0,     -16.0,      27.0
     394.0,     -16.0,      28.0
     395.0,     -16.0,      29.0
     396.0,     -16.0,      30.0
     397.0,     -16.0,      31.0
     398.0,     -16.0,      32.0
     399.0,     -16.0,      33.0
     400.0,     -16.0,      34.0
     401.0,     -16.0,      35.0
     402.0,     -16.0,      36.0
     403.0,     -16.0,      37.0
     404.0,     -16.0,      38.0
     405.0,     -16.0,      39.0
     406.0,     -16.0,      40.0
     407.0,     -16.0,      41.0
     408.0,     -16.0,      42.0
     409.0,     -16.0,      43.0
     410.0,     -16.0,      44.0
     411.0,     -16.0,      45.0
     412.0,     -16.0,      46.0
     413.0,     -16.0,      47.0
     414.0,     -16.0,      48.0
     415.0,     -16.0,      49.0
     416.0,     -16.0,      50.0
     417.0,     -16.0,      51.0
     418.0,     -16.0,      52.0
     419.0,     -16.0,      53.0
     420.0,     -16.0,      54.0
     421.0,     -16.0,      55.0
     422.0,     -16.0,      56.0
     423.0,     -16.0,      57.0
     424.0,     -15.0,       5.0
     425.0,     -15.0,       6.0
     426.0,     -15.0,       7.0
     427.0,     -15.0,       8.0
     428.0,     -15.0,       9.0
     429.0,     -15.0,      10.0
     430.0,     -15.0,      11.0
     431.0,     -15.0,      12.0
     432.0,     -15.0,      13.0
     433.0,     -15.0,      14.0
     434.0,     -15.0,      15.0
     435.0,     -15.0,      16.0
     436.0,     -15.0,      17.0
     437.0,     -15.0,      18.0
     438.0,     -15.0,      19.0
     439.0,     -15.0,      20.0
     440.0,     -15.0,      21.0
     441.0,     -15.0,      22.0
     442.0,     -15.0,      23.0
     443.0,     -15.0,      24.0
     444.0,     -15.0,      25.0
     445.0,     -15.0,      26.0
     446.0,     -15.0,      27.0
     447.0,     -15.0,      28.0
     448.0,     -15.0,      29.0
     449.0,     -15.0,      30.0
     450.0,     -15.0,      31.0
